Field,Active Feed Format,History Feed Format,Length,Source,Description,Available Since
id,string,string,36,MC Generated,This is a GUID and unique in the feed. In History feed VIN number is prefixed,Jan 15
vin,string,string,17,MC Scraped,17 char long VIN of the car,Jan 15
heading,string,string,256,MC Scraped,The car heading as listed on the inventory page of the dealer website,Jan 15
more_info,string,string,1024,MC Scraped,The listing details page url,Jan 15
price,number,number,12,MC Scraped,The car price as listed on the website,Jan 15
msrp,number,number,12,MC Scraped,The car retail price as listed on the website,Jan 15
miles,number,number,12,MC Scraped,The car miles/odometer as listed on the website,Jan 15
stock_no,string,string,32,MC Scraped,Stock number of the car listed on the website,Jan 15
year,number,number,4,VIN Decoder,Model Year of the car (VIN Decoded),Jan 15
make,string,string,32,VIN Decoder,Make of the car (VIN Decoded),Jan 15
model,string,string,256,VIN Decoder,Model of the car (VIN Decoded),Jan 15
trim,string,string,256,VIN Decoder,Trim of the car (VIN Decoded),Jan 15
vehicle_type,string,string,64,VIN Decoder,Vehicle type of the car (VIN Decoded),Jan 15
body_type,string,string,64,VIN Decoder,Body type of the car (VIN Decoded),Jan 15
body_subtype,string,string,64,VIN Decoder,Body subtype of the car (VIN Decoded),Jan 15
drivetrain,string,string,64,VIN Decoder,Drivetrain of the car (VIN Decoded),Jan 15
fuel_type,string,string,64,VIN Decoder,Fuel type of the car (VIN Decoded),Jan 15
engine,string,string,64,VIN Decoder,Engine of the car (VIN Decoded),Jan 15
engine_block,string,string,8,VIN Decoder,Engine block of the car (VIN Decoded),Jan 15
engine_size,string,string,16,VIN Decoder,Engine size of the car (VIN Decoded),Jan 15
engine_measure,string,string,32,VIN Decoder,Engine measure of the car - Values are null as not available with EPI Analytics decoder,Jan 15
engine_aspiration,string,string,32,VIN Decoder,Engine aspiration of the car - Values are null as not available with EPI Analytics decoder,Jan 15
transmission,string,string,32,VIN Decoder,Transmission of the car (VIN Decoded),Jan 15
speeds,number,number,5,VIN Decoder,Speeds of the car - Values are null as not available with EPI Analytics decoder,Jan 15
doors,number,number,5,VIN Decoder,Doors of the car (VIN Decoded),Jan 15
cylinders,string,string,5,VIN Decoder,Cylinders of the car (VIN Decoded),Jan 15
city_mpg,number,number,8,VIN Decoder,City miles per gallon (VIN Decoded),Jan 15
highway_mpg,number,number,8,VIN Decoder,Highway miles per gallon (VIN Decoded),Jan 15
interior_color,string,string,64,MC Scraped,The interior color of the car,Jan 15
exterior_color,string,string,64,MC Scraped,The exterior color of the car,Jan 15
